group,round,player,choice,score
3,34,jugador5d,1,-1
3,34,jugador2d,1,-1
3,34,jugador1d,1,-1
3,34,jugador4d,1,-1
3,35,jugador5d,0,0
3,35,jugador3d,0,0
3,35,jugador2d,1,1
3,35,jugador1d,0,0
3,35,jugador4d,0,0
3,36,jugador5d,1,1
3,36,jugador3d,0,0
3,36,jugador1d,1,1
3,36,jugador2d,1,1
3,36,jugador4d,0,0
3,37,jugador5d,0,0
3,37,jugador2d,1,-1
3,37,jugador3d,1,-1
3,37,jugador4d,1,-1
3,37,jugador1d,1,-1
3,38,jugador5d,1,-1
3,38,jugador3d,1,-1
3,38,jugador2d,1,-1
3,38,jugador4d,1,-1
3,38,jugador1d,1,-1
3,39,jugador5d,1,1
3,39,jugador3d,1,1
3,39,jugador2d,1,1
3,39,jugador4d,0,0
3,39,jugador1d,0,0
3,40,jugador5d,0,0
3,40,jugador1d,0,0
3,40,jugador4d,1,1
3,40,jugador2d,1,1
3,40,jugador3d,0,0
3,41,jugador5d,1,1
3,41,jugador3d,1,1
3,41,jugador2d,0,0
3,41,jugador4d,0,0
3,41,jugador1d,1,1
3,42,jugador5d,0,0
3,42,jugador4d,1,1
3,42,jugador3d,0,0
3,42,jugador2d,1,1
3,42,jugador1d,0,0
3,43,jugador5d,1,1
3,43,jugador2d,0,0
3,43,jugador1d,1,1
3,43,jugador3d,1,1
3,43,jugador4d,0,0
3,44,jugador5d,0,0
3,44,jugador3d,0,0
3,44,jugador4d,1,1
3,44,jugador1d,1,1
3,44,jugador2d,1,1
3,45,jugador5d,1,-1
3,45,jugador3d,1,-1
3,45,jugador2d,1,-1
3,45,jugador1d,1,-1
3,45,jugador4d,0,0
3,46,jugador1d,0,0
3,46,jugador3d,1,1
3,46,jugador5d,0,0
3,46,jugador4d,0,0
3,46,jugador2d,1,1
3,47,jugador5d,1,1
3,47,jugador1d,0,0
3,47,jugador2d,1,1
3,47,jugador3d,0,0
3,47,jugador4d,0,0
3,48,jugador5d,0,0
3,48,jugador4d,1,1
3,48,jugador2d,0,0
3,48,jugador1d,1,1
3,48,jugador3d,1,1
3,49,jugador5d,1,-1
3,49,jugador3d,0,0
3,49,jugador1d,1,-1
3,49,jugador2d,1,-1
3,49,jugador4d,1,-1
3,50,jugador5d,0,0
3,50,jugador3d,1,1
3,50,jugador1d,0,0
3,50,jugador4d,0,0
3,50,jugador2d,1,1
